MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Tools & Hardware,Abrasives,Sanding Belts & Discs,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),Freud Inc,Diablo,,DCB518ASTS06G,,Tools & Hardware>Abrasives & Polishing>Sanding Belts & Discs,"Freud Inc, Diablo, Sanding Belt, DCB518ASTS06G","DIABLO 1/2""X18"" - SANDING BELT 6PC","Diablo Sanding Belt DCB518ASTS06G, dimension_wxh=1/2 in x 18 in; piece_count=6","Diablo Sanding Belt DCB518ASTS06G, dimension_wxh=1/2 in x 18 in; piece_count=6. High performance industrial and commercial grade sanding belt designed for professional applications.","Diablo Sanding Belt, dimension_wxh=1/2 in x 18 in; piece_count=6",,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075678,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box, 3MABR-7100075678",775L STIKIT FILM P150 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box 3MABR-7100075678, grit_value=150","3M 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box 3MABR-7100075678, grit_value=150. High performance industrial and commercial grade 3m 775l stikit film p150 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box, grit_value=150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100045865,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box, 3MABR-7100045865",775L STIKIT FILM P120 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box 3MABR-7100045865, grit_value=120","3M 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box 3MABR-7100045865, grit_value=120. High performance industrial and commercial grade 3m 775l stikit film p120 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box, grit_value=120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100048736,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box, 3MABR-7100048736",775L STIKIT FILM P80 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box 3MABR-7100048736, grit_value=80","3M 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box 3MABR-7100048736, grit_value=80. High performance industrial and commercial grade 3m 775l stikit film p80 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box, grit_value=80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075690,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box, 3MABR-7100075690",775L STIKIT FILM P180 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box 3MABR-7100075690, grit_value=180","3M 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box 3MABR-7100075690, grit_value=180. High performance industrial and commercial grade 3m 775l stikit film p180 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box, grit_value=180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100075692,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box, 3MABR-7100075692",775L STIKIT FILM P220 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box 3MABR-7100075692, grit_value=220","3M 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box 3MABR-7100075692, grit_value=220. High performance industrial and commercial grade 3m 775l stikit film p220 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box, grit_value=220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Hardware,Measuring & Layout,Levels & Lasers,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,3M,,3MABR-7100145365,,Tools & Hardware>Hand Tools>Measuring & Layout Tools>Laser Levels,"Jam Industrial Supply LLC, 3M, 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box, 3MABR-7100145365",775L STIKIT FILM P320 - CUBITRON II 50 DISC/BOX,"3M 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box 3MABR-7100145365, grit_value=320","3M 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box 3MABR-7100145365, grit_value=320. High performance industrial and commercial grade 3m 775l stikit film p320 - cubitron ii 50 disc/box designed for professional applications.","3M 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box, grit_value=320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Electrical,Fittings & Conduit,Cord Grips & Connectors,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,5B-332-080,,Electrical>Conduit & Fittings>Cord Grips & Connectors,"Mirka Abrasives Inc, 5B-332-080 HIOLIT 5"" P80, 5B-332-080","HIOLIT 5"" P80","5B-332-080 HIOLIT 5"" P80 5B-332-080, grit_value=80","5B-332-080 HIOLIT 5"" P80 5B-332-080, grit_value=80. High performance industrial and commercial grade 5b-332-080 hiolit 5"" p80 designed for professional applications.","5B-332-080 HIOLIT 5"" P80, grit_value=80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Electrical,Fittings & Conduit,Cord Grips & Connectors,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,5B-332-120,,Electrical>Conduit & Fittings>Cord Grips & Connectors,"Mirka Abrasives Inc, 5B-332-120 HIOLIT 5"" P120, 5B-332-120","HIOLIT 5"" P120","5B-332-120 HIOLIT 5"" P120 5B-332-120, grit_value=120","5B-332-120 HIOLIT 5"" P120 5B-332-120, grit_value=120. High performance industrial and commercial grade 5b-332-120 hiolit 5"" p120 designed for professional applications.","5B-332-120 HIOLIT 5"" P120, grit_value=120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Electrical,Fittings & Conduit,Cord Grips & Connectors,,9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,9A-570-240,,Electrical>Conduit & Fittings>Cord Grips & Connectors,"Mirka Abrasives Inc, 9A-570-240 Abranet 2.75x30, 9A-570-240",ABRANET 2.75X30,9A-570-240 Abranet 2.75x30 9A-570-240,9A-570-240 Abranet 2.75x30 9A-570-240. High performance industrial and commercial grade 9a-570-240 abranet 2.75x30 designed for professional applications.,9A-570-240 Abranet 2.75x30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
